CountryName,Year,AverageTemperature,NormalizedTemperature,TotalWasteGenerated,OrganicWastePercent,GlassWastePercent,MetalWastePercent,PaperWastePercent,PlasticWastePercent
Samoa,1985,26.678749999999997,0.9238016707036538,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1986,26.669,0.9236189521324194,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1987,26.589250000000003,0.922124407921553,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1988,26.8105,0.9262707139611044,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1989,26.477333333333338,0.9200270485953316,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1990,26.858583333333332,0.9271718132397564,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1991,26.849083333333336,0.9269937797600922,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1992,26.75916666666667,0.9253087084920408,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1993,26.522916666666664,0.9208812969582824,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1994,26.74891666666667,0.9251166197376663,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1995,27.037333333333336,0.9305216537123886,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1996,26.84583333333333,0.9269328735696806,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1997,26.706916666666668,0.924329524353887,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1998,27.121916666666667,0.9321067763602772,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,1999,26.78033333333333,0.9257053795783106,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2000,26.838333333333335,0.9267923208225772,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2001,26.953833333333336,0.9289568331279704,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2002,27.236666666666668,0.93425723339096,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2003,27.022666666666662,0.9302467950069416,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2004,27.05775,0.930904269523948,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2005,27.124333333333336,0.9321520655787886,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2006,26.834999999999997,0.9267298529349756,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2007,27.14925,0.9326190130386098,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2008,26.671166666666664,0.9236595562593604,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2009,26.728333333333335,0.9247308805317268,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2010,27.161666666666665,0.9328517059199256,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2011,26.71558333333333,0.9244919408616508,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2012,26.926666666666662,0.9284477198440176,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
Samoa,2013,27.1765,0.9331296880197524,6.935049755420513e-05,0.426,0.022,0.088,0.072,0.13
San Marino,1743,11.809,0.6451371092047994,4.347124679448317e-05,0.0535,0.0561,0.009,0.1321,0.0559999999999999
San Marino,1744,15.144625,0.7076479434790554,4.347124679448317e-05,0.0535,0.0561,0.009,0.1321,0.0559999999999999
San Marino,1745,7.0625,0.556185960654601,4.347124679448317e-05,0.0535,0.0561,0.009,0.1321,0.0559999999999999
San Marino,1746,,,4.347124679448317e-05,0.0535,0.0561,0.009,0.1321,0.0559999999999999
San Marino,1747,,,4.347124679448317e-05,0.0535,0.0561,0.009,0.1321,0.0559999999999999
